iter	Passed	Remaining
0	1	158
1	3	150
2	4	145
3	6	148
4	7	146
5	9	144
6	10	141
7	11	136
8	13	133
9	14	130
10	16	130
11	17	130
12	19	130
13	21	130
14	23	131
15	25	131
16	26	130
17	28	129
18	30	128
19	31	127
20	33	125
21	35	124
22	36	123
23	38	121
24	40	120
25	41	118
26	43	116
27	44	114
28	46	112
29	47	110
30	49	109
31	50	107
32	52	106
33	53	104
34	54	101
35	56	99
36	57	97
37	58	94
38	59	92
39	60	90
40	61	87
41	62	85
42	63	83
43	63	81
44	64	79
45	66	78
46	68	76
47	68	74
48	70	73
49	71	71
50	72	69
51	73	67
52	74	65
53	75	63
54	76	62
55	77	60
56	78	58
57	79	57
58	80	55
59	81	54
60	82	52
61	83	51
62	84	49
63	86	48
64	87	47
65	88	45
66	89	44
67	90	42
68	91	41
69	92	39
70	93	38
71	95	37
72	96	35
73	97	34
74	98	32
75	100	31
76	101	30
77	102	28
78	102	27
79	103	25
80	104	24
81	105	23
82	106	21
83	108	20
84	109	19
85	110	17
86	111	16
87	112	15
88	113	14
89	114	12
90	115	11
91	116	10
92	117	8
93	118	7
94	119	6
95	120	5
96	121	3
97	122	2
98	123	1
99	124	0
