iter	Passed	Remaining
0	0	696
1	1	662
2	2	675
3	2	680
4	3	683
5	4	675
6	4	654
7	5	638
8	5	628
9	6	612
10	6	597
11	7	583
12	7	583
13	8	576
14	8	571
15	9	567
16	9	566
17	10	560
18	10	555
19	11	554
20	11	554
21	12	552
22	12	548
23	13	547
24	13	544
25	14	542
26	14	539
27	15	538
28	16	538
29	16	537
30	17	542
31	17	544
32	18	550
33	19	552
34	19	550
35	20	550
36	21	547
37	21	544
38	22	543
39	22	542
40	23	541
41	23	540
42	24	539
43	24	538
44	25	536
45	25	534
46	26	533
47	26	532
48	27	530
49	27	530
50	28	529
51	28	528
52	29	526
53	30	526
54	30	524
55	31	523
56	31	521
57	32	521
58	32	524
59	33	525
60	34	527
61	34	526
62	35	526
63	35	525
64	36	525
65	37	523
66	37	522
67	37	520
68	38	519
69	39	519
70	39	517
71	40	516
72	40	515
73	41	515
74	41	514
75	42	513
76	42	512
77	43	511
78	43	510
79	44	509
80	44	508
81	45	507
82	45	504
83	46	502
84	46	503
85	47	503
86	48	505
87	48	505
88	49	504
89	49	503
90	50	503
91	50	502
92	51	501
93	52	501
94	52	500
95	53	499
96	53	498
97	54	498
98	55	503
99	55	503
100	56	501
101	56	501
102	57	500
103	58	500
104	58	499
105	59	498
106	59	497
107	60	497
108	60	496
109	61	500
110	62	501
111	63	501
112	64	502
113	64	501
114	65	501
115	65	501
116	66	499
117	66	498
118	67	498
119	67	498
120	68	497
121	69	496
122	69	496
123	70	495
124	70	494
125	71	494
126	71	492
127	72	492
128	73	492
129	73	492
130	74	491
131	74	490
132	75	489
133	75	488
134	76	487
135	76	486
136	77	485
137	77	485
138	78	485
139	78	484
140	79	485
141	80	484
142	80	483
143	81	483
144	81	482
145	82	482
146	83	482
147	83	482
148	84	481
149	84	480
150	85	479
151	85	478
152	86	477
153	86	476
154	87	475
155	87	474
156	88	473
157	88	472
158	89	471
159	89	471
160	90	469
161	90	468
162	90	467
163	91	466
164	91	465
165	92	465
166	93	466
167	94	465
168	94	465
169	95	464
170	95	463
171	96	462
172	96	463
173	97	462
174	97	461
175	98	460
176	98	459
177	99	458
178	99	457
179	100	456
180	100	455
181	101	454
182	101	453
183	102	453
184	102	452
185	103	451
186	103	450
187	104	449
188	104	448
189	105	447
190	105	447
191	106	446
192	106	445
193	107	445
194	107	445
195	108	445
196	109	445
197	109	444
198	110	443
199	110	442
200	111	444
201	112	443
202	112	442
203	113	444
204	114	443
205	114	442
206	115	441
207	115	441
208	116	440
209	116	439
210	117	438
211	117	438
212	118	437
213	118	436
214	119	435
215	119	434
216	120	434
217	120	433
218	121	432
219	121	431
220	122	430
221	122	429
222	123	429
223	123	429
224	124	428
225	125	428
226	125	427
227	126	427
228	127	427
229	127	427
230	128	426
231	128	426
232	129	426
233	130	425
234	130	426
235	131	425
236	132	425
237	132	424
238	133	424
239	133	423
240	134	422
241	134	422
242	135	421
243	135	420
244	136	419
245	136	419
246	137	418
247	137	417
248	138	416
249	138	416
250	139	417
251	140	417
252	141	416
253	141	416
254	142	415
255	142	414
256	143	413
257	143	413
258	144	412
259	144	412
260	145	412
261	146	411
262	146	410
263	147	410
264	147	409
265	148	408
266	148	408
267	149	408
268	150	407
269	150	407
270	151	406
271	151	406
272	152	406
273	153	406
274	154	406
275	155	406
276	155	406
277	156	405
278	156	404
279	157	404
280	157	403
281	158	402
282	159	403
283	160	403
284	160	403
285	161	402
286	161	402
287	162	401
288	162	400
289	163	399
290	163	399
291	164	398
292	164	397
293	165	398
294	166	397
295	166	396
296	167	396
297	167	395
298	168	395
299	169	395
300	170	395
301	171	395
302	172	396
303	172	395
304	173	394
305	173	394
306	174	393
307	174	392
308	175	392
309	175	391
310	176	391
311	177	390
312	177	389
313	178	390
314	179	389
315	179	389
316	180	388
317	181	388
318	181	387
319	181	386
320	182	387
321	183	386
322	185	388
323	185	387
324	186	387
325	187	386
326	187	386
327	188	385
328	188	384
329	189	383
330	189	383
331	190	383
